player_name,team,season,points,rebounds,assists,turnovers,minutes,fg_pct,plus_minus,playoffs_flag
Jazian Gortman,DAL,2025,1.5,0.3,0.4,0.3,3.6,0.391,0.0,False
Jerami Grant,POR,2025,14.4,3.5,2.1,1.4,32.4,0.373,0.0,False
A.J. Green,MIL,2025,7.4,2.4,1.5,0.5,22.7,0.429,0.0,False
Draymond Green,GSW,2025,9.0,6.1,5.6,2.6,29.2,0.424,0.0,False
Javonte Green,2TM,2025,5.1,3.2,0.8,0.5,18.5,0.429,0.0,False
Javonte Green,NOP,2025,5.8,3.6,0.9,0.6,21.8,0.446,0.0,False
Javonte Green,CLE,2025,3.3,2.2,0.6,0.2,9.2,0.365,0.0,False
Jalen Green,HOU,2025,21.0,4.6,3.4,2.5,32.9,0.423,0.0,False
Jeff Green,HOU,2025,5.4,1.8,0.6,0.3,12.4,0.504,0.0,False
Josh Green,CHO,2025,7.4,2.5,1.6,1.0,27.8,0.428,0.0,False
Quentin Grimes,2TM,2025,14.6,4.3,3.0,1.9,26.8,0.467,0.0,False
Quentin Grimes,DAL,2025,10.2,3.8,2.1,1.3,22.8,0.463,0.0,False
Quentin Grimes,PHI,2025,21.9,5.2,4.5,2.9,33.7,0.469,0.0,False
Mouhamed Gueye,ATL,2025,6.0,4.2,0.8,0.5,16.2,0.421,0.0,False
Rui Hachimura,LAL,2025,13.1,5.0,1.4,0.8,31.7,0.509,0.0,False
Tyrese Haliburton,IND,2025,18.6,3.5,9.2,1.6,33.6,0.473,0.0,False
PJ Hall,DEN,2025,1.7,1.2,0.2,0.1,3.5,0.583,0.0,False
Tim Hardaway Jr.,DET,2025,11.0,2.4,1.6,0.6,28.0,0.406,0.0,False
James Harden,LAC,2025,22.8,5.8,8.7,4.3,35.3,0.41,0.0,False
Jaden Hardy,DAL,2025,8.7,1.6,1.4,1.4,15.9,0.435,0.0,False
Elijah Harkless,UTA,2025,3.2,2.1,0.8,0.3,13.8,0.314,0.0,False
Ron Harper Jr.,DET,2025,4.0,7.0,2.0,0.0,17.0,0.125,0.0,False
Gary Harris,ORL,2025,3.0,1.3,0.6,0.4,14.8,0.383,0.0,False
Tobias Harris,DET,2025,13.7,5.9,2.2,1.2,31.6,0.477,0.0,False
Isaiah Hartenstein,OKC,2025,11.2,10.7,3.8,1.7,27.9,0.581,0.0,False
Josh Hart,NYK,2025,13.6,9.6,5.9,2.1,37.6,0.525,0.0,False
Sam Hauser,BOS,2025,8.5,3.2,0.9,0.3,21.7,0.451,0.0,False
Jordan Hawkins,NOP,2025,10.8,2.8,1.2,1.0,23.6,0.372,0.0,False
Jaxson Hayes,LAL,2025,6.8,4.8,1.0,0.8,19.5,0.722,0.0,False
Killian Hayes,BRK,2025,9.0,3.0,5.2,1.5,27.0,0.419,0.0,False
Scoot Henderson,POR,2025,12.7,3.0,5.1,2.7,26.7,0.419,0.0,False
Taylor Hendricks,UTA,2025,4.7,5.0,0.7,0.7,25.0,0.222,0.0,False
Tyler Herro,MIA,2025,23.9,5.2,5.5,2.6,35.4,0.472,0.0,False
Buddy Hield,GSW,2025,11.1,3.2,1.6,1.1,22.7,0.417,0.0,False
Haywood Highsmith,MIA,2025,6.5,3.4,1.5,0.7,24.6,0.458,0.0,False
Aaron Holiday,HOU,2025,5.5,1.3,1.3,0.6,12.8,0.437,0.0,False
Jrue Holiday,BOS,2025,11.1,4.3,3.9,1.2,30.6,0.443,0.0,False
Ron Holland,DET,2025,6.4,2.7,1.0,0.9,15.6,0.474,0.0,False
Richaun Holmes,WAS,2025,7.4,5.7,1.4,0.7,17.2,0.647,0.0,False
Chet Holmgren,OKC,2025,15.0,8.0,2.0,1.8,27.4,0.49,0.0,False
Jalen Hood-Schifino,2TM,2025,7.1,1.8,2.5,1.2,21.0,0.378,0.0,False
Jalen Hood-Schifino,LAL,2025,2.0,0.5,0.5,0.5,7.0,1.0,0.0,False
Jalen Hood-Schifino,PHI,2025,7.8,2.0,2.8,1.3,23.2,0.371,0.0,False
Al Horford,BOS,2025,9.0,6.2,2.1,0.8,27.7,0.423,0.0,False
Talen Horton-Tucker,CHI,2025,6.5,1.7,1.4,0.7,12.5,0.457,0.0,False
Caleb Houstan,ORL,2025,4.1,1.3,0.6,0.2,13.6,0.421,0.0,False
Jett Howard,ORL,2025,4.5,1.2,0.7,0.6,11.7,0.374,0.0,False
Kevin Huerter,2TM,2025,9.9,3.0,2.3,1.0,24.3,0.425,0.0,False
Kevin Huerter,SAC,2025,7.9,2.8,1.7,0.9,20.9,0.413,0.0,False
Kevin Huerter,CHI,2025,13.2,3.3,3.2,1.2,30.0,0.439,0.0,False
Jay Huff,MEM,2025,6.9,2.0,0.6,0.5,11.7,0.515,0.0,False
Ariel Hukporti,NYK,2025,1.9,2.0,0.4,0.8,8.7,0.677,0.0,False
De'Andre Hunter,2TM,2025,17.0,4.0,1.4,1.3,27.2,0.47,0.0,False
De'Andre Hunter,ATL,2025,19.0,3.9,1.5,1.6,28.8,0.461,0.0,False
De'Andre Hunter,CLE,2025,14.3,4.2,1.3,0.9,25.0,0.485,0.0,False
Bones Hyland,2TM,2025,6.2,1.0,1.3,1.0,10.0,0.398,0.0,False
Bones Hyland,LAC,2025,7.2,1.2,1.4,1.2,11.1,0.391,0.0,False
Bones Hyland,MIN,2025,1.3,0.3,1.0,0.3,4.3,0.667,0.0,False
Oso Ighodaro,PHO,2025,4.2,3.6,1.2,0.6,17.1,0.604,0.0,False
Joe Ingles,MIN,2025,0.8,0.6,1.2,0.5,6.0,0.261,0.0,False
Brandon Ingram,NOP,2025,22.2,5.6,5.2,3.8,33.1,0.465,0.0,False
Harrison Ingram,SAS,2025,0.8,1.8,0.6,0.2,7.0,0.5,0.0,False
Kyrie Irving,DAL,2025,24.7,4.8,4.6,2.2,36.1,0.473,0.0,False
Jonathan Isaac,ORL,2025,5.4,4.4,0.6,0.5,15.4,0.414,0.0,False
Jaden Ivey,DET,2025,17.6,4.1,4.0,3.0,29.9,0.46,0.0,False
Andre Jackson Jr.,MIL,2025,3.4,2.7,1.2,0.9,14.6,0.477,0.0,False
GG Jackson II,MEM,2025,7.2,3.2,1.0,1.1,15.8,0.372,0.0,False
Isaiah Jackson,IND,2025,7.0,5.6,1.0,1.0,16.8,0.609,0.0,False
Jaren Jackson Jr.,MEM,2025,22.2,5.6,2.0,2.1,29.8,0.488,0.0,False
Quenton Jackson,IND,2025,5.8,1.6,1.9,0.6,13.6,0.475,0.0,False
Reggie Jackson,PHI,2025,4.4,1.4,1.5,0.5,12.4,0.391,0.0,False
Trayce Jackson-Davis,GSW,2025,6.6,5.0,1.7,0.7,15.6,0.576,0.0,False
Bronny James,LAL,2025,2.3,0.7,0.8,0.5,6.7,0.313,0.0,False
LeBron James,LAL,2025,24.4,7.8,8.2,3.7,34.9,0.513,0.0,False
